iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
20,2,6.696125,7.841,7.046799999999999,1.2282440662384033,5.996560573577881,53.90842819213867
21,1,6.406625,7.636,7.0384,13.398165702819824,89.74466705322266,42.55559539794922
21,2,6.328749999999999,7.537,6.633800000000001,3.126659393310547,9.250906944274902,5.091724872589111
22,1,6.4885,7.691,7.2136,5.0484514236450195,19.195053100585938,5.646523475646973
22,2,6.610142857142857,7.178,6.7988,15.646388053894043,24.14969825744629,22.6732234954834
23,1,6.2345,7.4,6.787000000000001,0.8226502537727356,5.0124711990356445,29.83603286743164
23,2,6.600285714285715,7.008,6.791000000000001,0.7091618180274963,5.584597587585449,3.2920098304748535
24,1,7.1065000000000005,8.005,7.4584,2.3414151668548584,11.324943542480469,6.004158973693848
24,2,6.22325,7.628,6.8658,0.5559301376342773,4.083778381347656,1.6292046308517456
25,1,6.618375,7.347,7.1854,0.6127479672431946,47.12727737426758,5.6792893409729
25,2,6.628874999999999,7.443,7.0756,1.2549314498901367,33.077781677246094,3.5185813903808594
26,1,6.79025,7.349,7.0268,2.842741012573242,12.863061904907227,7.099088668823242
26,2,6.445375,7.413,6.7288,2.985482692718506,35.99000549316406,6.791292190551758
27,1,6.6377500000000005,7.555,7.1182,0.5537080764770508,11.94342041015625,3.133831262588501
27,2,6.67225,8.164,7.0724,22.140670776367188,63.09226608276367,96.93711853027344
28,1,6.7947500000000005,7.91,7.1636,2.134431838989258,15.676835060119629,19.33211326599121
28,2,7.061999999999999,8.19,7.3646,0.8622182607650757,42.96621322631836,4.754628658294678
29,1,6.813625,7.82,7.2696,2.2262661457061768,10.895263671875,4.503864765167236
29,2,6.7361249999999995,7.978,7.089,4.167677879333496,54.84163284301758,6.81479549407959
30,1,6.545,7.309,6.870400000000001,0.7455382943153381,10.149293899536133,2.1922976970672607
30,2,6.869625,8.393,7.365399999999999,5.168377876281738,7.629401206970215,6.404941558837891
31,1,6.8248750000000005,7.856,7.269800000000001,1.776050090789795,86.28033447265625,8.471192359924316
31,2,6.857625,8.021,7.077799999999999,1.4320876598358154,4.525667667388916,3.590707540512085
32,1,6.718875,7.451,7.1762,11.819218635559082,12.655572891235352,34.18758010864258
32,2,7.26525,7.852,7.6046000000000005,0.34042879939079285,20.74371337890625,8.174724578857422
33,1,6.3252500000000005,7.722,6.739,0.5636861324310303,42.98774337768555,2.191053628921509
33,2,6.250714285714286,7.106,6.8708,1.0752012729644775,16.544858932495117,3.682215929031372
34,1,6.615375,7.339,6.925999999999999,1.4315428733825684,15.63302993774414,3.811004877090454
34,2,6.856375,8.492,7.312,9.459031105041504,28.51797866821289,13.502730369567871
35,1,6.920875,8.08,7.316199999999999,1.2894158363342285,36.02727508544922,3.67732310295105
35,2,6.82625,8.146,7.390600000000001,0.5351388454437256,21.2312068939209,4.127574443817139
36,1,6.573,7.519,7.0658,8.187929153442383,17.787216186523438,14.061661720275879
36,2,7.3111250000000005,8.051,7.613200000000001,70.47784423828125,10.39775276184082,53.67936325073242
37,1,6.592874999999999,7.575,7.0194,0.9739152193069458,15.028863906860352,2.267137050628662
37,2,6.468999999999999,7.343,6.793200000000001,1.690900444984436,6.159021854400635,3.458864688873291
38,1,6.633000000000001,7.259,6.8896,6.728772163391113,43.61954116821289,8.50621223449707
38,2,6.54275,7.529,6.841200000000001,0.6257869005203247,4.429448127746582,24.237716674804688
39,1,6.779375,7.965,7.251,10.410600662231445,24.968265533447266,14.662948608398438
39,2,6.855285714285715,8.179,7.3404,1.317610740661621,8.826703071594238,3.9418888092041016
40,1,6.466375,7.647,7.0516000000000005,2.160217523574829,191.9456787109375,5.420567512512207
40,2,6.849625,7.727,7.220400000000001,0.599768340587616,7.35207986831665,2.231998920440674
41,1,6.873749999999999,7.548,7.248399999999999,4.790838718414307,18.923566818237305,19.858150482177734
41,2,6.8919999999999995,8.105,7.3062,0.4962059259414673,5.107398986816406,5.149974346160889
42,1,6.947375,8.272,7.4594,1.518357276916504,4.445098400115967,3.9684176445007324
42,2,6.7418571428571425,7.748,7.076599999999999,2.033921003341675,6.008902549743652,6.854641437530518
43,1,7.077999999999999,7.92,7.336799999999999,6.897950172424316,13.40291976928711,12.16612434387207
43,2,6.599571428571429,7.661,7.0132,1.0113986730575562,26.53282356262207,1.953039288520813
44,1,6.58375,7.728,7.1196,0.21293416619300842,7.786171913146973,5.101839542388916
44,2,6.859875,7.332,7.1748,0.6868228912353516,9.630937576293945,27.999069213867188
45,1,6.816571428571429,7.817,7.0084,0.9033409357070923,21.60150718688965,23.333223342895508
45,2,6.676125,7.679,7.036,2.720672845840454,15.243135452270508,6.436934947967529
46,1,6.37575,6.953,6.7234,0.5026086568832397,393.7994079589844,22.502334594726562
46,2,6.76125,7.327,7.107400000000001,0.5800157785415649,4.554332256317139,3.5525460243225098
47,1,6.630571428571429,7.856,6.930200000000001,0.3817729651927948,16.165761947631836,1.9032613039016724
47,2,6.881125,8.784,7.353999999999999,0.5511410236358643,57.80497360229492,2.691027879714966
48,1,6.866428571428571,8.072,7.263799999999999,0.43544840812683105,6.118179798126221,5.651311874389648
48,2,6.809125,7.662,7.265600000000001,8.020346641540527,15.781805992126465,22.84585952758789
49,1,6.676499999999999,7.916,7.212999999999999,0.9693571925163269,3.3299496173858643,2.5579824447631836
49,2,6.976875,8.016,7.328,4.81459379196167,22.466157913208008,7.819911956787109
50,1,6.954625,7.531,7.160200000000001,0.6405066251754761,14.141029357910156,1.773514747619629
50,2,7.4464999999999995,8.832,8.075199999999999,0.984377384185791,71.58472442626953,3.4333596229553223
51,1,6.774249999999999,7.646,7.327000000000001,0.4723051190376282,13.978143692016602,6.668116569519043
51,2,6.059125,7.644,6.556399999999999,5.136873245239258,25.000194549560547,6.730264663696289
52,1,6.92825,7.976,7.2468,0.8254415392875671,4.842833995819092,3.250898838043213
52,2,6.351285714285715,7.375,6.609399999999999,0.521710991859436,23.145936965942383,9.413958549499512
53,1,7.115,8.559,7.647999999999999,1.892189383506775,28.709320068359375,5.367112636566162
53,2,6.966428571428572,7.647,7.233,5.436388969421387,8.604402542114258,6.051642417907715
54,1,7.07625,8.076,7.382000000000001,1.0955522060394287,9.61751651763916,2.951005458831787
54,2,7.357749999999999,8.009,7.619400000000001,0.7396707534790039,9.09488582611084,4.910907745361328
55,1,6.534000000000001,7.342,6.9474,1.391524076461792,83.8243179321289,3.467851400375366
55,2,7.0635,8.341,7.410199999999999,0.734247088432312,7.521184921264648,2.744023323059082
56,1,6.616624999999999,7.982,6.9512,3.682015895843506,19.937660217285156,19.570743560791016
56,2,7.011625,8.184,7.586,0.7666338086128235,5.371228218078613,1.7941274642944336
57,1,7.242625,8.031,7.568600000000001,0.8370484113693237,47.52830123901367,2.6696038246154785
57,2,6.7521249999999995,7.923,7.1907999999999985,8.652807235717773,5.836664199829102,11.556342124938965
58,1,6.681,7.435,7.059399999999999,1.2910298109054565,5.5272216796875,2.9625937938690186
58,2,7.15575,7.976,7.4854,1.2059063911437988,6.903321266174316,35.78797149658203
59,1,6.7684999999999995,7.62,7.148999999999999,3.6549789905548096,6.458782196044922,4.773497581481934
59,2,6.8233749999999995,7.933,7.347799999999999,1.3931430578231812,14.886486053466797,3.25943660736084
60,1,7.042,7.471,7.327799999999999,0.761307954788208,9.223613739013672,2.666883945465088
60,2,6.754,7.931,7.0252,0.7643339037895203,4.549380302429199,14.729480743408203
61,1,6.439428571428572,7.504,6.691999999999998,0.8271681070327759,26.11810874938965,7.837505340576172
61,2,6.851249999999999,7.415,7.078799999999999,1.3506251573562622,5.62741756439209,3.179471015930176
62,1,6.890428571428571,7.445,7.0618,0.7082158327102661,6.496846675872803,2.7457096576690674
62,2,6.905125,7.825,7.1554,1.2937816381454468,11.143983840942383,4.784493923187256
63,1,6.6675,7.897,6.994800000000001,0.852936863899231,6.095513820648193,6.850889682769775
63,2,6.542624999999999,7.191,6.9488,0.40057286620140076,12.546010971069336,3.199824810028076
64,1,6.267857142857143,7.778,6.7674,0.7504000067710876,27.12887954711914,7.048372745513916
64,2,6.676714285714285,7.066,6.913199999999999,0.8385102152824402,7.306068420410156,3.112591028213501
65,1,6.677375,7.599,7.115,3.570047616958618,11.241633415222168,11.025951385498047
65,2,6.550000000000001,7.743,7.128,0.43886828422546387,39.455299377441406,457.3006591796875
66,1,6.988625,7.337,7.2071999999999985,0.8865866661071777,205.46421813964844,182.34359741210938
66,2,7.310375,7.914,7.6188,0.8840713500976562,116.28595733642578,3.3509387969970703
67,1,6.92242857142857,8.314,7.2366,1.3747951984405518,8.354525566101074,5.707789421081543
67,2,7.189285714285714,8.37,7.4434,2.565877914428711,8.015137672424316,4.583253383636475
68,1,7.235250000000001,8.545,7.612,1.5207042694091797,47.463619232177734,4.448447227478027
68,2,6.7135,7.651,7.1178,0.6261217594146729,7.454401969909668,2.3488845825195312
69,1,7.336875,8.167,7.7298,2.748845100402832,3.2682876586914062,9.204652786254883
69,2,6.939875,7.689,7.222200000000001,1.4367228746414185,5.129604339599609,3.8225202560424805
70,1,6.614875,7.479,7.0286,1.153772234916687,5.055583953857422,3.6473169326782227
70,2,6.98175,7.838,7.3549999999999995,9.501410484313965,4.770371437072754,25.58333396911621
71,1,6.985142857142857,7.912,7.3556,4.197373867034912,3.6815056800842285,5.854086399078369
71,2,7.28975,7.928,7.5524000000000004,3.974639892578125,10.094426155090332,21.997314453125
72,1,6.477000000000001,7.219,6.690599999999999,0.5947011709213257,31.458850860595703,6.894632816314697
72,2,7.088625,8.336,7.607600000000001,1.613741159439087,4.369626998901367,3.693939208984375
73,1,6.8149999999999995,7.508,7.056399999999999,0.9457054734230042,20.602407455444336,6.263167381286621
73,2,7.076875,8.109,7.6004000000000005,0.22442153096199036,13.867431640625,2.498833417892456
74,1,6.7295,8.046,7.089999999999999,14.019918441772461,9.338622093200684,37.526947021484375
74,2,7.3423750000000005,8.706,7.7676,3.4203760623931885,24.313573837280273,5.825881004333496
75,1,6.89775,7.886,7.327,2.505803108215332,15.564376831054688,3.317532539367676
75,2,7.065625000000001,8.492,7.5652,0.5859630703926086,4.631070613861084,6.319628715515137
76,1,6.727285714285715,7.59,7.0048,2.261622190475464,8.242639541625977,5.19249153137207
76,2,6.86275,7.794,7.2948,5.54701042175293,14.323485374450684,9.013851165771484
77,1,6.7605,7.861,7.0678,0.7127119302749634,165.9581298828125,2.4597434997558594
77,2,6.6739999999999995,7.412,7.2346,1.470750331878662,7.874340057373047,7.914745330810547
78,1,7.430571428571429,8.255,7.619800000000001,2.657505989074707,37.38417434692383,5.834571361541748
78,2,6.711,7.259,6.9876000000000005,6.860934257507324,9.52425765991211,15.460765838623047
79,1,6.800875,8.005,7.1744,4.614259719848633,15.143271446228027,9.015414237976074
79,2,6.800833333333333,7.365,6.982200000000001,1.5232582092285156,6.904618263244629,3.811716079711914
80,1,6.965375,8.034,7.397799999999999,0.33259502053260803,12.143413543701172,1.741208553314209
80,2,6.476125,7.507,6.8698,1.3849366903305054,8.313945770263672,2.4408187866210938
81,1,7.543142857142857,8.25,7.8469999999999995,0.604945957660675,30.788400650024414,2.10870361328125
81,2,6.820875,7.974,7.2144,9.410871505737305,16.887815475463867,11.365503311157227
82,1,7.022749999999999,8.074,7.464,9.634273529052734,7.292745113372803,21.121519088745117
82,2,6.966,8.372,7.4914000000000005,2.3821239471435547,25.136436462402344,4.108340263366699
83,1,7.0348749999999995,8.162,7.3446,1.3515453338623047,4.597745418548584,3.587717056274414
83,2,6.412750000000001,7.001,6.7806000000000015,0.15607643127441406,3.5775747299194336,3.0375285148620605
84,1,6.867,7.512,7.122800000000001,1.668809175491333,13.09706974029541,9.0095853805542
84,2,7.176375,8.4,7.659599999999999,0.40354108810424805,77.7707290649414,2.406329870223999
85,1,6.513,7.276,6.7304,5.748010158538818,10.712924003601074,33.9637451171875
85,2,6.76325,7.877,7.437400000000001,6.862150192260742,16.71282386779785,28.440067291259766
86,1,6.641375,7.329,6.9148,11.056604385375977,7.314465522766113,13.318707466125488
86,2,7.100625,8.211,7.6091999999999995,14.463464736938477,8.035391807556152,15.014949798583984
87,1,6.602714285714286,7.402,6.924199999999999,3.604919910430908,7.425376892089844,7.524492263793945
87,2,6.99325,8.299,7.402800000000001,0.5239148139953613,9.094560623168945,2.193277359008789
88,1,7.07925,7.92,7.43,8.450019836425781,9.819567680358887,14.591248512268066
