iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
1,1,6.624875,7.321,7.0762,0.8439614772796631,3.4068846702575684,2.9579312801361084
1,2,6.909375,7.681,7.196599999999999,2.4836392402648926,14.211604118347168,6.121945381164551
2,1,6.865625,8.866,7.306,0.9240456819534302,3.9437806606292725,19.698238372802734
2,2,7.139625,7.855,7.4338,1.910132884979248,7.890845775604248,5.41525936126709
3,1,6.8408750000000005,7.682,7.146799999999999,1.531800627708435,15.285500526428223,15.431987762451172
