epoch,valid_sequences,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,kl_beta
1,4,6.84875,7.981,6.84875,0.9183897376060486,24.909650802612305,0.1
2,4,7.175000000000001,8.001,7.175000000000001,7.266042232513428,9.627909660339355,0.1
3,4,6.66875,7.249,6.668749999999999,0.9571275115013123,7.529813766479492,0.1
4,4,6.356,6.812,6.356,3.011138439178467,4.150114059448242,0.1
5,4,6.839,7.453,6.8389999999999995,0.5857835412025452,37.84748840332031,0.1
6,4,6.766249999999999,7.753,6.766249999999999,2.5884828567504883,32.57036209106445,0.1
7,4,6.54875,7.391,6.54875,0.7197328209877014,3.393904685974121,0.1
8,4,6.804,7.483,6.804,0.553734540939331,16.422670364379883,0.1
9,4,7.115,7.73,7.115,2.328030824661255,9.449872970581055,0.1
10,4,4.97025,7.111,4.97025,0.4969175457954407,6.320986270904541,0.1
11,4,7.195250000000001,7.895,7.19525,0.4634360074996948,11.05737590789795,0.1
12,4,6.9045000000000005,7.823,6.9045000000000005,3.0487568378448486,5.0855512619018555,0.1
13,4,6.822,7.31,6.822,0.14097802340984344,7.163520336151123,0.1
14,4,6.407,6.661,6.407,2.223402976989746,59.170536041259766,0.1
15,4,6.94875,7.729,6.94875,0.6681870222091675,5.258548736572266,0.1
16,4,6.688249999999999,7.349,6.68825,0.10732710361480713,49.42119216918945,0.1
17,4,7.175249999999999,8.107,7.17525,0.4409759044647217,6.303459167480469,0.1
