epoch,valid_sequences,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,kl_beta
1,16,5.478875,7.589,7.394,0.36492490768432617,24.943031311035156,0.1
2,16,5.758687500000001,8.905,7.893199999999998,0.2781510055065155,15.504095077514648,0.2
3,16,5.644375,7.902,7.597200000000001,1.1605958938598633,24.286869049072266,0.4
4,16,4.5516875,7.963,7.370399999999999,0.7396488189697266,44.61420440673828,0.8
5,16,7.018375000000001,8.305,7.755,0.8412968516349792,10.976541519165039,0.8
6,16,4.665,8.054,7.479000000000001,0.757152795791626,15.96322250366211,1.0
7,16,6.79775,8.058,7.7712,1.8938024044036865,120.9914321899414,1.0
8,16,5.795,8.401,7.609999999999999,0.28479063510894775,11.693999290466309,1.0
9,16,6.3461875,8.008,7.4758,1.0393073558807373,17.06142807006836,1.0
10,16,5.7983125,7.974,7.703,0.4573928117752075,14.278839111328125,1.0
11,16,6.821875,8.428,7.7782,2.62139892578125,15.167060852050781,1.0
12,16,5.411875,7.35,7.178200000000001,7.645144462585449,17.960676193237305,1.0
13,16,6.6055625,8.149,7.4677999999999995,0.5801266431808472,16.805686950683594,1.0
14,16,6.8289375,7.656,7.505800000000001,1.2153724431991577,10.948667526245117,1.0
15,16,4.5993125,8.06,7.6518000000000015,5.417719841003418,10.497573852539062,1.0
16,16,6.706125,8.466,7.745,2.713770866394043,29.804336547851562,1.0
17,16,6.8456875,8.423,7.6036,3.81072735786438,6.060666084289551,0.5
18,16,6.8180625,7.72,7.6546,0.5500147938728333,11.213075637817383,0.5
19,16,6.9392499999999995,8.838,7.883799999999999,4.7776103019714355,5.861058235168457,0.25
20,16,6.5635,7.517,7.3494,11.727269172668457,7.631460189819336,0.25
21,16,5.676875,7.97,7.4616,0.575000524520874,26.941429138183594,0.5
22,16,5.4493125,8.385,7.6556,1.4614615440368652,12.026958465576172,0.5
23,16,6.0675625,8.638,7.978399999999999,0.3567323386669159,12.324539184570312,0.5
24,16,3.503375,7.741,7.141,0.21631042659282684,130.0770263671875,1.0
25,16,5.975312499999999,8.08,7.616200000000001,1.085011601448059,10.699216842651367,1.0
26,16,6.0418125,8.354,8.0228,0.5810869932174683,11.070976257324219,1.0
27,16,6.9421875,8.347,7.882599999999999,0.9050747156143188,16.825939178466797,1.0
28,16,6.5710625,7.567,7.295999999999999,1.0709060430526733,9.323619842529297,1.0
29,16,6.6025625,7.729,7.327800000000001,3.648120403289795,10.028068542480469,1.0
30,16,5.898562500000001,8.245,7.7097999999999995,0.13124684989452362,6.527976036071777,0.5
31,16,6.85675,7.88,7.650399999999999,0.7474048137664795,7.89846134185791,0.5
32,16,6.871,7.91,7.6104,1.4992281198501587,38.47088623046875,1.0
33,16,6.596875000000001,7.474,7.3304,0.7048723101615906,19.96924591064453,1.0
34,16,6.624124999999999,8.706,7.869200000000001,3.3335254192352295,104.22846984863281,1.0
35,16,6.851312500000001,7.747,7.493600000000001,2.704450845718384,18.36298370361328,1.0
36,16,6.7855625,8.257,7.641800000000001,11.293149948120117,19.55940818786621,1.0
37,16,6.4666875,7.847,7.7124,3.8199267387390137,15.99499225616455,1.0
38,16,6.704375,8.234,7.5508,0.5578364729881287,11.442030906677246,1.0
39,16,5.8009375,8.49,7.775,0.171794593334198,7.8288254737854,1.0
40,16,5.723,7.913,7.418000000000001,1.939475417137146,5.0507965087890625,0.5
41,16,7.035125,8.41,8.0352,1.8356497287750244,17.50955581665039,1.0
