epoch,train_loss,val_loss
1,1.5687904433042061,1.1185316929296285
2,1.133837359793046,0.9715480644161961
3,1.0252196626002048,0.8816410658740196
4,0.9581934779631991,0.8164934465865127
5,0.9104127961547435,0.7832908925889921
6,0.8724046331994674,0.746816176326335
7,0.8420856610065749,0.7265934458299845
8,0.8189311643608478,0.7016701773435128
9,0.7978164383343288,0.6857524859805068
10,0.7800641094937044,0.6653393286616862
11,0.764907186772643,0.6559575275212777
12,0.7520658458982196,0.6375508679061377
13,0.7388517748908836,0.6331550283592289
14,0.7285713262918616,0.6190770964662567
15,0.7184660254406328,0.6137726527302205
16,0.7093026958593801,0.602126584333532
17,0.7010793340306322,0.5979434086495087
18,0.6927126370558218,0.5988795431722113
19,0.6853259060563159,0.5909563889022634
20,0.6787727294849748,0.5793100680623736
21,0.671097329935106,0.5739364098100102
22,0.6660775449596533,0.5714076113801042
23,0.6603229256237254,0.5623080775517375
24,0.6545319850204372,0.5623976933855971
25,0.6490255947373494,0.5604997918385417
26,0.6443085302324856,0.5551786357615175
27,0.6417411650930133,0.5493365746586263
28,0.6369804441928864,0.5491063877814958
29,0.6320922740367281,0.5463551190220007
30,0.6282037614273424,0.5425095816119379
31,0.6251948871532408,0.5413869464096903
32,0.6202154477604297,0.5359646169578328
33,0.6184616785089508,0.5308884159356606
34,0.6139001420566014,0.5288692777898131
35,0.6111601606136611,0.5286083071171737
36,0.6077720963654398,0.5259171756876617
37,0.6044398583784825,0.5255277489914614
38,0.6037915947557497,0.5197535109620134
39,0.5994766174244279,0.5190296178104497
40,0.5955074857763883,0.5146566556782282
41,0.5932998592112245,0.5179515536091909
42,0.5919586477660331,0.5134021775061343
43,0.5895765681727594,0.5124222455906267
44,0.5868733658009216,0.5131694439078579
45,0.5852018815128743,0.5092567405780825
46,0.581460680280413,0.5080983015168615
47,0.5803943524340621,0.5098741537883502
48,0.5774309034107112,0.5012153807808372
49,0.5751826818249807,0.5000708957179254
