epoch,train_loss,val_loss
1,1.3400844726241936,1.014606053588771
2,1.0056421130645175,0.8658376195851494
3,0.8990763025123532,0.7868421032649129
4,0.8339438017676858,0.7341537645884922
5,0.7852245686935777,0.6891925354965595
6,0.7459543790636944,0.6634466582987489
7,0.7131926016647274,0.6340110311989023
8,0.6861173986386853,0.6122040743587398
9,0.6645009014285913,0.5934331341951835
10,0.6449298583158926,0.5763516616420585
11,0.6258863961997152,0.5641838091762126
12,0.6114095887717079,0.5547500317838011
13,0.5985522923850212,0.5453732301708029
14,0.5847206671698755,0.5348970519394434
15,0.575201584761884,0.5301622219947206
16,0.5643691763657481,0.5199862555796358
17,0.5543820456046016,0.5176403211946247
18,0.5451468003898108,0.5075187142155752
19,0.5381222889453423,0.5039934453343143
20,0.5298576188438079,0.4986540384653236
21,0.5229875525506604,0.4901517466837619
22,0.5160785694332684,0.49069048126204673
23,0.509904673119553,0.4847933514779355
24,0.504579144616087,0.4830008537328544
25,0.49801099926483733,0.4756428877345654
26,0.4937277912091808,0.4737858617005228
27,0.4878981236149283,0.4708291069299233
28,0.48441483168041005,0.46803003900191364
29,0.47898355502040446,0.468358706275956
30,0.4745662987482648,0.4616796414391333
31,0.4706069941029829,0.45805214232757313
32,0.4656503161712855,0.45697052764291524
33,0.46350619672727184,0.4575703752641918
34,0.4589035657524061,0.4549754827964206
35,0.4552315665142877,0.45269031334324045
36,0.4520706862461667,0.4503230101921979
37,0.44891165610121075,0.45132029632560344
38,0.4458540541534664,0.44925013985954415
39,0.4424447091687627,0.4459941354619355
40,0.44058591327747376,0.4438427321049346
41,0.436678607674206,0.4429700499823113
42,0.433181191818053,0.4428609982759011
43,0.4313060059016492,0.43905204734882386
44,0.4281315017147225,0.43956971694441405
45,0.4256645363418996,0.43964372612849
46,0.42313047404549703,0.435821566511603
47,0.4211819680298076,0.4351243018603125
48,0.4185401332729003,0.4371957500942615
49,0.4165265275901105,0.4324085514585511
50,0.4145819978052829,0.4340259798434602
51,0.41078497031155753,0.4384749396508481
52,0.410632423242601,0.43777295045492026
53,0.40896820070362894,0.43283251253496696
54,0.4057462768895285,0.4346856444823642
55,0.4041948030475809,0.4328828937366229
56,0.40337938258127004,0.4318775800095887
57,0.4003777363721062,0.42754648913856313
58,0.3986918673294933,0.43283773119710073
59,0.3971973211825395,0.42680335245212586
60,0.3951066265336606,0.43048961698508065
61,0.39385219869994315,0.42594567367008757
62,0.39239548910565736,0.4278507415486985
63,0.39024044623394977,0.4261312765233657
64,0.38856702980374086,0.42921969895603274
65,0.3874598929361135,0.42749317503776874
66,0.38671921118467795,0.4251194789129145
67,0.384924361560525,0.4261515323354417
68,0.38254396917940187,0.42810730373158173
69,0.3814382719642976,0.42615356891095135
70,0.38030111213692097,0.42343464618971366
71,0.37887425858433504,0.4248818947988398
72,0.37785879779262704,0.42453557528367564
73,0.3767832169512741,0.4249933096541076
74,0.3759195075816467,0.4233287447640876
75,0.37279636544339795,0.42038711529819905
76,0.3722921056406839,0.42166723874436707
77,0.37120221179573476,0.42403123834553885
78,0.37006522114036466,0.43048963100970294
79,0.3689950469161282,0.418211096725544
80,0.36803329930085094,0.42134573680012166
81,0.36754181567861255,0.4195182080529317
82,0.36579308840407043,0.42234920027877104
83,0.3652756166558306,0.4210752191162911
84,0.36433224505236167,0.42391853122150197
85,0.36313444263293965,0.4198988641009611
86,0.36223563038501416,0.42069734069479614
87,0.36064109381507425,0.42365702961673257
88,0.360259656395231,0.4185190178266093
89,0.35862392262250437,0.41896253273266704
90,0.3575287488829188,0.4225816138151313
91,0.3567860543477435,0.41911122703752596
92,0.35616631079621675,0.4256222390828012
93,0.3551908080317393,0.4249401014892995
94,0.35481156358698834,0.424294945322165
95,0.3535835495015152,0.42121677013004527
96,0.35300499388650686,0.4223981499671936
97,0.3523112449074994,0.41687385950769695
98,0.3517660408460793,0.4192758159978049
99,0.35006555388955507,0.4172658512071401
100,0.34907882303750815,0.4217409934817242
