iteration,step,mean_reward,top1_reward,top5_mean_reward,policy_loss,kl_loss,ratio_mean
1,1,7.05025,8.631,7.584999999999999,0.05917070806026459,55.778099060058594,0.6588315963745117
1,2,7.072125,8.297,7.4682,0.09497340023517609,25.789443969726562,1.0049278736114502
2,1,6.958857142857143,8.157,7.337199999999998,0.11400038003921509,13.204085350036621,1.1111806631088257
2,2,6.82875,7.97,7.252199999999999,0.278633177280426,24.09394645690918,0.8670133948326111
3,1,6.899875,7.483,7.1209999999999996,-0.04718835651874542,4.698391914367676,0.8181859254837036
3,2,6.812625000000001,8.192,7.5944,0.046318091452121735,6.383293628692627,0.8373234272003174
4,1,7.037625,7.88,7.514,0.11746052652597427,67.49327087402344,0.5914026498794556
4,2,6.642875,7.41,7.1617999999999995,-8.171796798706055e-05,7.724986553192139,0.7093955278396606
5,1,6.86725,7.781,7.203399999999999,0.0520273894071579,10.701257705688477,0.7674693465232849
5,2,6.598875,7.65,7.005199999999999,0.33656811714172363,22.837444305419922,0.8419910073280334
6,1,6.6345,7.094,6.8372,0.07163257896900177,4.09226131439209,0.7551026940345764
