original,augmented,selfies
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,S(c1c2nc[nH]c2ncn1)CC(c1c(=O)n(C)c(=O)n(C)c1N)=O,[S][Branch1][=C][C][=C][N][=C][NH1][C][Ring1][Branch1][=N][C][=N][Ring1][=Branch2][C][C][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Ring1][#Branch2][N][=O]
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,C(CSc1ncnc2c1nc[nH]2)(c1c(=O)n(C)c(=O)n(C)c1N)=O,[C][Branch1][S][C][S][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][NH1][Ring1][Branch1][Branch2][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=Ring1][#Branch2][N][=O]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,C1(=O)N[C@H](CC(NCc2ccc([S@@+]([OH2+])(N)=O)cc2)=O)C(=O)N1CCc1c[nH]c2c1cccc2,[C][=Branch1][C][=O][N][C@H1][Branch2][Ring1][O][C][C][Branch2][Ring1][Branch1][N][C][C][=C][C][=C][Branch1][=Branch2][S@@+1][Branch1][C][OH2+1][Branch1][C][N][=O][C][=C][Ring1][#Branch2][=O][C][=Branch1][C][=O][N][Ring2][Ring1][=Branch1][C][C][C][=C][NH1][C][=C][Ring1][Branch1][C][=C][C][=C][Ring1][=Branch1]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[S@+](c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc43)C2=O)cc1)(=O)(N)[OH2+],[S@+1][Branch2][Ring2][S][C][=C][C][=C][Branch2][Ring2][Ring2][C][N][C][=Branch1][C][=O][C][C@H1][N][C][=Branch1][C][=O][N][Branch1][S][C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C][Ring1][P][=O][C][=C][Ring2][Ring1][=N][=Branch1][C][=O][Branch1][C][N][OH2+1]
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,n1c(CCCC(=O)N2CCC(C(=O)N)CC2)n(Cc2ccccc2)c2c1cccn2,[N][=C][Branch2][Ring1][#Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][C][Ring1][=Branch2][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][C][=C][C][=N][Ring1][=Branch1]
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,C(CCCc1n(Cc2ccccc2)c2ncccc2n1)(=O)N1CCC(C(N)=O)CC1,[C][Branch2][Ring1][N][C][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][S][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2]
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,c12ccccc1n1c(nnc1SCC(=O)N1CCC(C(=O)N)CC1)[nH]2,[C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch2][Ring1][O][=N][N][=C][Ring1][Branch1][S][C][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][C][Ring1][=Branch2][NH1][Ring2][Ring1][=Branch2]
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,c1cc2[nH]c3nnc(SCC(N4CCC(C(N)=O)CC4)=O)n3c2cc1,[C][=C][C][NH1][C][=N][N][=C][Branch2][Ring1][=Branch1][S][C][C][Branch1][S][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2][=O][N][Ring2][Ring1][C][C][=Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][=Branch2]
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,n1n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)c(C)cc1C,[N][N][Branch2][Ring2][Branch2][C][C][C][=Branch1][C][=O][N][C][C][C@H1][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][#C][C][C][Ring2][Ring1][Ring2][C][Branch1][C][C][=C][C][=Ring2][Ring1][=C][C]
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,[C@H]12C(=O)N(Cc3ccccc3)CC(=O)N1CCN(C(=O)CCn1c(C)cc(C)n1)CC2,[C@H1][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][#C][C][C][N][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][C][N][C][Branch1][C][C][=C][C][Branch1][C][C][=N][Ring1][#Branch1][C][C][Ring2][Ring1][#C]
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[nH]1cc(CCN2C(=O)[C@H](CC(NCc3ccc([S@@+]([OH2+])(N)=O)cc3)=O)NC2=O)c2ccccc12,[NH1][C][=C][Branch2][Ring2][N][C][C][N][C][=Branch1][C][=O][C@H1][Branch2][Ring1][O][C][C][Branch2][Ring1][Branch1][N][C][C][=C][C][=C][Branch1][=Branch2][S@@+1][Branch1][C][OH2+1][Branch1][C][N][=O][C][=C][Ring1][#Branch2][=O][N][C][Ring2][Ring1][Branch1][=O][C][=C][C][=C][C][=C][Ring2][Ring1][P][Ring1][=Branch1]
