smiles,selfies
Cc1cc(C)c2oc(C(=O)N(Cc3ccc(C(C)C)cc3)c3ccccn3)cc(=O)c2c1,[C][C][=C][C][Branch1][C][C][=C][O][C][Branch2][Ring1][S][C][=Branch1][C][=O][N][Branch1][P][C][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][C][=Branch1][C][=O][C][Ring2][Ring1][#Branch2][=C][Ring2][Ring1][#C]
CC(C)(C)[C@H]1CCc2nc3sc4c(c3c(N)c2C1)CCCC4,[C][C][Branch1][C][C][Branch1][C][C][C@H1][C][C][C][=N][C][S][C][=C][Branch1][=C][C][=Ring1][Branch1][C][Branch1][C][N][=C][Ring1][#Branch2][C][Ring1][=C][C][C][C][C][Ring1][O]
Cc1ccc2c(c1)n(Cc1ccccc1C)c(=O)c1nc(C(=O)Nc3ccc(C)c(C)c3)nn12,[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][=N][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][=N][N][Ring1][S][Ring2][Ring1][=C]
O=C(Nc1ccccc1)Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1,[O][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][=C][S][Ring1][P]
CCOc1ccccc1NC(=O)Nc1ccc2sc(NC(=O)C3CCCCC3)nc2c1,[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][N][C][=C][C][=C][S][C][Branch1][=C][N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][=N][C][Ring1][=C][=C][Ring2][Ring1][C]
O=C(Nc1cccc(-c2[nH]c3ccccc3[nH+]2)c1)c1ccc(-c2cccc([N+](=O)[O-])c2)o1,[O][=C][Branch2][Ring1][=Branch2][N][C][=C][C][=C][C][Branch1][=C][C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1+1][=Ring1][=Branch2][=C][Ring1][#C][C][=C][C][=C][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][O][Ring1][=C]
O=[N+]([O-])c1ccc(Cl)c(-c2ccc(/C=N/Nc3ccc(I)cc3)o2)c1,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][Branch1][C][Cl][C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][#C][/C][=N][/N][C][=C][C][=C][Branch1][C][I][C][=C][Ring1][#Branch1][O][Ring1][#C][=C][Ring2][Ring1][=Branch1]
Cc1ccc2nc(-c3ccc(Cl)cc3)cc(C(=O)OCC(=O)c3cccc([N+](=O)[O-])c3)c2c1,[C][C][=C][C][=C][N][=C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][O][C][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][C][Ring2][Ring1][N][=C][Ring2][Ring1][S]
COC(=O)c1scc(-c2ccc(C)cc2)c1S(=O)(=O)[N-]c1ccc(C(C)C)cc1,[C][O][C][=Branch1][C][=O][C][S][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=Ring1][N][S][=Branch1][C][=O][=Branch1][C][=O][N-1][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2]
CCc1ccc2oc(-c3cc(/[NH+]=C\c4cc(C)cc(Br)c4O)ccc3[O-])nc2c1,[C][C][C][=C][C][=C][O][C][Branch2][Ring1][=C][C][=C][C][Branch2][Ring1][C][/NH1+1][=C][\C][=C][C][Branch1][C][C][=C][C][Branch1][C][Br][=C][Ring1][Branch2][O][=C][C][=C][Ring1][P][O-1][=N][C][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][O]
C[C@H]1CC(C)(C)N(C)c2cc3oc(=O)c(C(=O)c4ccc5ccccc5c4)cc3cc21,[C][C@H1][C][C][Branch1][C][C][Branch1][C][C][N][Branch1][C][C][C][=C][C][O][C][=Branch1][C][=O][C][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][=C][C][=Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch1][Ring2][Ring1][=C]
CC(C)(C)OC[C@H](O)CN(Cc1cccc(Cl)c1)C[C@@H]1CC(c2ccc(Cl)cc2)=NO1,[C][C][Branch1][C][C][Branch1][C][C][O][C][C@H1][Branch1][C][O][C][N][Branch1][=N][C][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][C@@H1][C][C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=N][O][Ring1][N]
Cc1ccc(S(=O)(=O)N(c2ccc(C)c(F)c2)[C@H]2CC[N@H+](CCC(C)C)CC2)cc1,[C][C][=C][C][=C][Branch2][Ring2][#Branch2][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][#C][C][=C][C][=C][Branch1][C][C][C][Branch1][C][F][=C][Ring1][Branch2][C@H1][C][C][N@H1+1][Branch1][Branch2][C][C][C][Branch1][C][C][C][C][C][Ring1][O][C][=C][Ring2][Ring1][=N]
Cc1cc(C)cc(NC(=O)Nc2ccc(Nc3cc(C)nc(N4CCCC4)n3)cc2)c1,[C][C][=C][C][Branch1][C][C][=C][C][Branch2][Ring2][Branch2][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][=Branch1][N][C][=C][C][Branch1][C][C][=N][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=N][Ring1][N][C][=C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][=C]
O=C(Nc1ccc2oc(-c3cccc4c(Br)cccc34)nc2c1)c1ccccc1[N+](=O)[O-],[O][=C][Branch2][Ring2][Ring2][N][C][=C][C][=C][O][C][Branch2][Ring1][C][C][=C][C][=C][C][=C][Branch1][C][Br][C][=C][C][=C][Ring1][O][Ring1][#Branch1][=N][C][Ring1][S][=C][Ring2][Ring1][Ring2][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1]
CCc1ccc(NC(=O)Nc2nc(-c3ccccc3)cs2)cc1,[C][C][C][=C][C][=C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][N][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][Ring1][O][C][=C][Ring2][Ring1][Branch1]
Cc1ccc(-c2noc(CCC(=O)Nc3cccc(CCc4nc5ccc(C)cc5[nH]4)c3)n2)cc1,[C][C][=C][C][=C][Branch2][Ring2][P][C][=N][O][C][Branch2][Ring2][=Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch2][Ring1][Ring1][C][C][C][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][NH1][Ring1][#Branch2][=C][Ring2][Ring1][C][=N][Ring2][Ring1][N][C][=C][Ring2][Ring2][C]
CCCc1ccc(S(=O)(=O)[N-]c2ccc3sc(NC(=O)C4CCCCC4)nc3c2)cc1,[C][C][C][C][=C][C][=C][Branch2][Ring2][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N-1][C][=C][C][=C][S][C][Branch1][=C][N][C][=Branch1][C][=O][C][C][C][C][C][C][Ring1][=Branch1][=N][C][Ring1][=C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][N]
CCCCCCOc1ccc([C@H]2C(=O)N(C3CCCCC3)CC(=O)N2CCCC)cc1,[C][C][C][C][C][C][O][C][=C][C][=C][Branch2][Ring1][=N][C@H1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][=C][C][C][C][C][C][=C][Ring2][Ring1][Branch2]
O=C(Cc1csc(NC(=O)Nc2cccc(Cl)c2)n1)Nc1ccc(C(F)(F)F)cc1,[O][=C][Branch2][Ring1][=N][C][C][=C][S][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][=N][Ring1][S][N][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2]
CCOC(=O)c1c(C)oc2c1c([C@@H](c1ccc(Cl)cc1)N1CCOCC1)c([O-])c1ccccc12,[C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][O][C][=C][Ring1][=Branch1][C][Branch2][Ring1][#Branch1][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][N][C][C][O][C][C][Ring1][=Branch1][=C][Branch1][C][O-1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][=Branch2]
C(=N/Nc1nc(Nc2ccccc2)nc(N2CCCCC2)n1)\c1cccs1,[C][=Branch2][Ring1][P][=N][/N][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=N][Ring2][Ring1][Ring1][\C][=C][C][=C][S][Ring1][Branch1]
O=c1ccn(-c2cccc(Br)c2)nc1-c1nc(-c2ccc(OC(F)(F)F)cc2)no1,[O][=C][C][=C][N][Branch1][N][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1][N][=C][Ring1][=N][C][=N][C][Branch2][Ring1][Ring2][C][=C][C][=C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][O][=N][O][Ring1][S]
CC[C@]1(C(=O)c2ccc(C(C)(C)C)cc2)[C@@H]2c3cc(Br)ccc3OC(=O)[C@]21C(=O)OC,[C][C][C@][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][C@@H1][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][=Branch1][C][=O][C@][Ring1][N][Ring2][Ring1][=Branch2][C][=Branch1][C][=O][O][C]
Cc1cccc(S(=O)(=O)Nc2ccc(-c3cc4cc(Cl)ccc4[nH]3)cc2)c1,[C][C][=C][C][=C][C][Branch2][Ring2][Ring1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch1][P][C][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][NH1][Ring1][#Branch2][C][=C][Ring1][S][=C][Ring2][Ring1][#Branch2]
CC1CCN(c2ccc(NS(=O)(=O)c3ccc(C4CCCCC4)cc3)cc2C(=O)[O-])CC1,[C][C][C][C][N][Branch2][Ring2][N][C][=C][C][=C][Branch2][Ring1][O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][Ring2][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][C][Ring2][Ring1][#C]
CCc1cccc(C)c1-n1nnnc1C(C)(C)Nc1ccc(C(C)C)cc1,[C][C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][N][N][=N][N][=C][Ring1][Branch1][C][Branch1][C][C][Branch1][C][C][N][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2]
O=C(COC(=O)c1ccccc1C(=O)c1ccc(-c2ccccc2)cc1)c1cccc([N+](=O)[O-])c1,[O][=C][Branch2][Ring2][Branch1][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2]
Cc1ccc(-c2noc(-c3nn(CC(=O)N[C@H]4CC[C@@H](C)CC4)c4ccccc34)n2)cc1,[C][C][=C][C][=C][Branch2][Ring2][=C][C][=N][O][C][Branch2][Ring2][Ring1][C][=N][N][Branch2][Ring1][C][C][C][=Branch1][C][=O][N][C@H1][C][C][C@@H1][Branch1][C][C][C][C][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring2][Ring1][=Branch1][=N][Ring2][Ring1][=Branch2][C][=C][Ring2][Ring1][#C]
Cc1cc(N2CCCC2)[nH+]c(Nc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)n1,[C][C][=C][C][Branch1][Branch2][N][C][C][C][C][Ring1][Branch1][=NH1+1][C][Branch2][Ring1][=C][N][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][=C][Ring1][P][=N][Ring2][Ring1][=N]
Cc1ccc(Nc2c(-c3ccc(C(C)C)cc3)c(=O)c2=O)cc1Cl,[C][C][=C][C][=C][Branch2][Ring1][=N][N][C][=C][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][C][Ring1][=C][=O][C][=C][Ring2][Ring1][=Branch1][Cl]
CCc1ccc(C(=O)c2cnc3ccc(OC)cc3c2S(=O)(=O)c2ccc(C)cc2)cc1,[C][C][C][=C][C][=C][Branch2][Ring2][=Branch2][C][=Branch1][C][=O][C][=C][N][=C][C][=C][C][Branch1][Ring1][O][C][=C][C][Ring1][Branch2][=C][Ring1][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][C][=C][Ring2][Ring1][=C]
CCOC(=O)c1ccc2[nH]c(CSCC(=O)Nc3ccc(C)c(Cl)c3)cc(=O)c2c1,[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][NH1][C][Branch2][Ring1][#Branch1][C][S][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][C][=Branch1][C][=O][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2]
CC(C)c1ccc(NC(=O)[C@H]2CN(S(=O)(=O)c3ccccc3)c3cc(C(C)(C)C)ccc3O2)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][S][N][C][=Branch1][C][=O][C@H1][C][N][Branch1][S][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch2][O][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][S]
COc1ccc2c(=O)/c(=C\c3ccc(Br)cc3)oc3cccc1c32,[C][O][C][=C][C][=C][C][=Branch1][C][=O][/C][=Branch1][=N][=C][\C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][O][C][=C][C][=C][C][Ring2][Ring1][Branch1][=C][Ring1][=Branch1][Ring2][Ring1][Ring1]
O=C1[C@H](c2ccccc2)[C@H](c2cccc([N+](=O)[O-])c2)[NH2+][C@@H](c2cccc([N+](=O)[O-])c2)[C@H]1c1ccccc1,[O][=C][C@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][NH2+1][C@@H1][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][C@H1][Ring2][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1]
CCCCCCSc1nnc2c(n1)O[C@H](c1cccc(O)c1)Nc1ccccc1-2,[C][C][C][C][C][C][S][C][=N][N][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][O][C@H1][Branch1][N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Ring1]
O=[N+]([O-])c1ccc2c(c1)[C@H]1C=CC[C@H]1[C@H](c1cccc(Cl)c1Cl)N2,[O][=N+1][Branch1][C][O-1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@H1][C][=C][C][C@H1][Ring1][Branch1][C@H1][Branch1][=N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][Cl][N][Ring2][Ring1][C]
CCOc1ccccc1Nc1nc(-c2cc3cc(Br)ccc3oc2=O)cs1,[C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=N][C][Branch2][Ring1][Ring1][C][=C][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][#Branch1][O][C][Ring1][O][=O][=C][S][Ring1][P]
Cc1ccc(-c2csc(-c3cc4cc(Cl)ccc4oc3=O)n2)cc1C,[C][C][=C][C][=C][Branch2][Ring1][=N][C][=C][S][C][Branch2][Ring1][Ring1][C][=C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][C][Ring1][O][=O][=N][Ring1][P][C][=C][Ring2][Ring1][#Branch1][C]
CCc1ccc(S(=O)(=O)c2nnn3c2nc(Nc2ccc(C)c(C)c2)c2sccc23)cc1,[C][C][C][=C][C][=C][Branch2][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][N][=N][N][C][=Ring1][Branch1][N][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][C][C][Branch1][C][C][=C][Ring1][Branch2][C][S][C][=C][C][=Ring1][Branch1][Ring2][Ring1][C][C][=C][Ring2][Ring1][=C]
Oc1ccccc1/C=N/Nc1nc(Nc2ccccc2)nc(Nc2ccccc2)n1,[O][C][=C][C][=C][C][=C][Ring1][=Branch1][/C][=N][/N][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring2][Ring1][Ring2]
CC(C)c1ccc(-c2cc(-c3nc(-c4ccc5c(c4)OCO5)no3)[nH]n2)cc1,[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring2][Ring2][C][C][=C][Branch2][Ring1][=Branch2][C][=N][C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][=N][O][Ring1][=C][NH1][N][=Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch2]
Cc1ccc(N2C(=O)CS[C@@H]2c2cccc([N-]S(=O)(=O)c3ccc(Cl)cc3)c2)c(C)c1,[C][C][=C][C][=C][Branch2][Ring2][=Branch2][N][C][=Branch1][C][=O][C][S][C@@H1][Ring1][=Branch1][C][=C][C][=C][C][Branch2][Ring1][Ring2][N-1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][Ring1][P][C][Branch1][C][C][=C][Ring2][Ring1][=C]
Cc1ccc(N(C)S(=O)(=O)c2ccsc2-c2nc(-c3ccc4c(c3)OCO4)no2)cc1Cl,[C][C][=C][C][=C][Branch2][Ring2][O][N][Branch1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][S][C][=Ring1][Branch1][C][=N][C][Branch1][S][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1][=N][O][Ring1][=C][C][=C][Ring2][Ring1][=C][Cl]
CCCn1c(=O)[nH]c2cc(-c3noc(/C=C/c4ccccc4Cl)n3)ccc21,[C][C][C][N][C][=Branch1][C][=O][NH1][C][=C][C][Branch2][Ring1][Branch1][C][=N][O][C][Branch1][N][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][=N][Ring1][=C][=C][C][=C][Ring2][Ring1][Ring2][Ring2][Ring1][Branch2]
Cc1ccc2nc(-c3ccccc3)cc(C(=O)Nc3cccc([N+](=O)[O-])c3)c2c1,[C][C][=C][C][=C][N][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][C][Ring2][Ring1][Branch2][=C][Ring2][Ring1][N]
O=C(Nc1cc(-c2onc3c2CCCC3)cc(C(F)(F)F)c1)c1cncc(Br)c1,[O][=C][Branch2][Ring2][Ring2][N][C][=C][C][Branch1][=C][C][O][N][=C][C][=Ring1][Branch1][C][C][C][C][Ring1][=Branch1][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring2][Ring1][Ring1][C][=C][N][=C][C][Branch1][C][Br][=C][Ring1][#Branch1]
CC[C@H](Oc1ccc2c(c1)[C@@H](c1ccc(F)cc1)N(C(=O)C1CCCC1)CC2)C(=O)NC(C)C,[C][C][C@H1][Branch2][Ring2][=N][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C@@H1][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][Branch1][N][C][=Branch1][C][=O][C][C][C][C][C][Ring1][Branch1][C][C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][N][C][Branch1][C][C][C]
CCN(C(=O)Nc1cccc(C)c1C)c1nc(-c2ccccc2)cs1,[C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][Ring1][O]
Cc1cc(Nc2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)nc(NC2CCCCC2)n1,[C][C][=C][C][Branch2][Ring1][=C][N][C][=C][C][=C][Branch2][Ring1][C][N][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=C][Ring1][P][=N][C][Branch1][#Branch2][N][C][C][C][C][C][C][Ring1][=Branch1][=N][Ring2][Ring1][#C]
CC(C)(C)c1ccc(-c2nc(-c3cccc([N+](=O)[O-])c3)no2)cc1,[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][=N][C][Branch1][S][C][=C][C][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][Ring1][=Branch2][=N][O][Ring1][=C][C][=C][Ring2][Ring1][Ring2]
Cc1ccc(NC(=O)Nc2ccc3sc(NC(=O)c4ccccc4)nc3c2)cc1C,[C][C][=C][C][=C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][N][C][=C][C][=C][S][C][Branch1][=C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Ring1][=C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][N][C]
CCOc1ccc(-c2csc(Cc3nc(-c4ccc(OC)cc4)no3)n2)cc1,[C][C][O][C][=C][C][=C][Branch2][Ring2][C][C][=C][S][C][Branch2][Ring1][#Branch1][C][C][=N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][=N][O][Ring1][=N][=N][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][=Branch2]
CCCCCCc1c(C)c2cc(Cl)c([O-])c(C[N@@H+]3CCC[C@H](C)C3)c2oc1=O,[C][C][C][C][C][C][C][=C][Branch1][C][C][C][=C][C][Branch1][C][Cl][=C][Branch1][C][O-1][C][Branch1][=N][C][N@@H1+1][C][C][C][C@H1][Branch1][C][C][C][Ring1][#Branch1][=C][Ring1][S][O][C][Ring2][Ring1][Branch1][=O]
Clc1ccc(-c2noc(Cc3nc(-c4ccccc4)cs3)n2)cc1,[Cl][C][=C][C][=C][Branch2][Ring1][=N][C][=N][O][C][Branch2][Ring1][Ring1][C][C][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][S][Ring1][O][=N][Ring1][P][C][=C][Ring2][Ring1][#Branch1]
CCC[NH+](CCC)Cc1c(O)ccc2c(=O)c(Oc3ccc(C)cc3)c(C(F)(F)F)oc12,[C][C][C][NH1+1][Branch1][Ring2][C][C][C][C][C][=C][Branch1][C][O][C][=C][C][C][=Branch1][C][=O][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][O][C][Ring2][Ring1][Branch2][=Ring2][Ring1][Ring1]
CCc1nc(-c2ccc(-c3noc(Cc4ccccc4F)n3)cc2)cs1,[C][C][C][=N][C][Branch2][Ring1][S][C][=C][C][=C][Branch2][Ring1][Ring2][C][=N][O][C][Branch1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][F][=N][Ring1][=N][C][=C][Ring2][Ring1][Ring1][=C][S][Ring2][Ring1][Branch2]
CCOc1cccc([C@@H]2c3c(-c4ccccc4O)n[nH]c3C(=O)N2CCc2ccccc2)c1,[C][C][O][C][=C][C][=C][C][Branch2][Ring2][Branch1][C@@H1][C][C][Branch1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][=N][NH1][C][=Ring1][N][C][=Branch1][C][=O][N][Ring1][S][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][=C]
Cc1ccc(S(=O)(=O)Nc2ccc(-c3csc(-c4ccccc4)n3)cc2)cc1,[C][C][=C][C][=C][Branch2][Ring2][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][C][C][=C][S][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][Ring1][O][C][=C][Ring1][P][C][=C][Ring2][Ring1][O]
Cc1ccc(N2C[C@@H](c3nc(-c4ccc(-c5csc(C6CC6)n5)cc4)no3)CC2=O)cc1,[C][C][=C][C][=C][Branch2][Ring2][S][N][C][C@@H1][Branch2][Ring2][Ring2][C][=N][C][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][#C][C][=C][S][C][Branch1][=Branch1][C][C][C][Ring1][Ring1][=N][Ring1][Branch2][C][=C][Ring1][=C][=N][O][Ring2][Ring1][Ring1][C][C][Ring2][Ring1][Branch2][=O][C][=C][Ring2][Ring1][#C]
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(SCc2ccccc2Cl)s1,[O][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][N][C][=N][N][=C][Branch1][N][S][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl][S][Ring1][=C]
