original,augmented,selfies
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,n1cnn2c3ccn(Cc4ccccn4)c(=O)c3cnc12,[N][C][=N][N][C][C][=C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=Branch1][C][=O][C][=Ring1][=C][C][=N][C][=Ring2][Ring1][Branch1][Ring2][Ring1][C]
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1c(C)ccc2n3c(ncc(NC(=O)c4c(C)cccc4)c3=O)sc12,[C][=C][Branch1][C][C][C][=C][C][N][C][=Branch2][Ring1][#Branch2][=N][C][=C][Branch1][P][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][C][=C][C][=C][Ring1][#Branch1][C][Ring1][S][=O][S][C][Ring2][Ring1][=Branch2][=Ring2][Ring1][Ring2]
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c12c(c([N+](=O)[O-])ccc1)C(=O)N(CCC(=O)Nc1c(C(N)=O)cccc1)C2=O,[C][=C][Branch1][=C][C][Branch1][=Branch1][N+1][=Branch1][C][=O][O-1][=C][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][N][Branch2][Ring1][#Branch1][C][C][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O][C][=C][C][=C][Ring1][=Branch2][C][Ring2][Ring1][O][=O]
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,C1CC(=O)N(c2ccc(C(=O)Nc3c(C(=O)N)cccc3)cc2)[S@@+]1(=O)[OH2+],[C][C][C][=Branch1][C][=O][N][Branch2][Ring1][P][C][=C][C][=C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][C][S@@+1][Ring2][Ring1][Branch2][=Branch1][C][=O][OH2+1]
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(CNC(=O)c2c3n(nc2)C[C@@H](NC(c2cn(C)nc2)=O)C3)cnccc1,[C][Branch2][Ring2][=Branch1][C][N][C][=Branch1][C][=O][C][=C][N][Branch1][Branch1][N][=C][Ring1][Branch1][C][C@@H1][Branch1][S][N][C][Branch1][O][C][=C][N][Branch1][C][C][N][=C][Ring1][=Branch1][=O][C][Ring1][S][=C][N][=C][C][=C][Ring2][Ring1][O]
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,n1c(-c2cc(OC)c(OC)cc2)cc(C(=O)[O-])c2c(-c3ccc(C)cc3)[nH]nc12,[N][=C][Branch1][P][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][NH1][N][=C][Ring2][Ring1][=N][Ring1][N]
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,C1N([S@+](=O)(c2cccc(F)c2)[OH2+])CC(=O)N2C[C@@H](NC(=O)C)C[C@@H]12,[C][N][Branch2][Ring1][Ring1][S@+1][=Branch1][C][=O][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][OH2+1][C][C][=Branch1][C][=O][N][C][C@@H1][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][C@@H1][Ring2][Ring1][Branch2][Ring1][=Branch2]
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1(C(=O)NCc2ccncc2)c([O-])nc2n(cccc2)c1=O,[C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][Branch1][C][O-1][N][=C][N][Branch1][#Branch1][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Branch1][=O]
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1(Nc2nc(-c3c(C)nc4ncccn43)cs2)ccccc1C,[C][Branch2][Ring1][O][N][C][=N][C][Branch1][P][C][=C][Branch1][C][C][N][=C][N][=C][C][=C][N][Ring1][=Branch1][Ring1][#Branch2][=C][S][Ring1][#C][=C][C][=C][C][=C][Ring2][Ring1][=Branch1][C]
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,n1c2ccc(C(c3ccccc3)=O)cc2n2c(c1Nc1ccc(O)cc1)nnc2C,[N][C][=C][C][=C][Branch1][=N][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=O][C][=C][Ring1][=C][N][C][Branch1][P][C][=Ring2][Ring1][C][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=N][N][=C][Ring1][=C][C]
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,C(C[C@@H](c1cc2c(cc1)OCO2)c1ccccc1)(=O)[O-],[C][Branch2][Ring1][N][C][C@@H1][Branch1][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][Ring1][#Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][=Branch1][C][=O][O-1]
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1cccc(F)c1C(Nc1ccc(N2CCC(C(N)=O)([NH+]3CCCCC3)CC2)cc1C(=O)[O-])=O,[C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][Branch2][Ring2][N][N][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][Branch1][=Branch2][NH1+1][C][C][C][C][C][Ring1][=Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O-1][=O]
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,O1CCN(C(=O)CSc2nnc3n2c2c(c(=O)n3C)cccc2)CC1,[O][C][C][N][Branch2][Ring1][S][C][=Branch1][C][=O][C][S][C][=N][N][=C][N][Ring1][Branch1][C][=C][Branch1][=Branch2][C][=Branch1][C][=O][N][Ring1][#Branch1][C][C][=C][C][=C][Ring1][#Branch2][C][C][Ring2][Ring1][=Branch2]
