original,augmented
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,C(c1ccc([S@+]([OH2+])(=O)N)cc1)NC(C[C@@H]1C(=O)N(CCc2ccccc2)C(=O)N1)=O
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1c(C)cc2nc([O-])c(C(NCc3ccncc3)=O)c(=O)n2c1
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1cnccc1CNC(=O)c1c(=O)n2ccc(C)cc2nc1[O-]
Cc1ccn2c(=O)c(C(=O)NCc3ccncc3)c([O-])nc2c1,c1(C(NCc2ccncc2)=O)c(=O)n2ccc(C)cc2nc1[O-]
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c12ccn(Cc3ncccc3)c(=O)c1cnc1ncnn21
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1nc2ncc3c(=O)n(Cc4ccccn4)ccc3n2n1
O=c1c2cnc3ncnn3c2ccn1Cc1ccccn1,c1(Cn2c(=O)c3c(n4c(nc3)ncn4)cc2)ncccc1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1ccc(C(=O)Nc2c(=O)n3c(nc2)sc2cc(C)ccc32)c(C)c1
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,c1c2c(n3c(ncc(NC(c4c(C)cccc4)=O)c3=O)s2)ccc1C
Cc1ccc2c(c1)sc1ncc(NC(=O)c3ccccc3C)c(=O)n12,n12c(=O)c(NC(c3ccccc3C)=O)cnc1sc1cc(C)ccc21
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(CN1C(=O)c2cccc([N+](=O)[O-])c2C1=O)C(Nc1c(C(=O)N)cccc1)=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,c1cc2c(c([N+](=O)[O-])c1)C(=O)N(CCC(=O)Nc1ccccc1C(N)=O)C2=O
NC(=O)c1ccccc1NC(=O)CCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,C(C(=O)Nc1c(C(N)=O)cccc1)CN1C(=O)c2c(c([N+]([O-])=O)ccc2)C1=O
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,O=C(c1c(NC(=O)c2ccc(N3C(=O)CC[S@@+]3([OH2+])=O)cc2)cccc1)N
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,C1[S@+](=O)([OH2+])N(c2ccc(C(=O)Nc3ccccc3C(=O)N)cc2)C(=O)C1
NC(=O)c1ccccc1NC(=O)c1ccc(N2C(=O)CC[S@+]2(=O)[OH2+])cc1,c1cc(C(Nc2ccccc2C(N)=O)=O)ccc1N1C(=O)CC[S@+]1(=O)[OH2+]
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,O=C(NCc1cccnc1)c1c2n(nc1)C[C@@H](NC(=O)c1cnn(C)c1)C2
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(CNC(=O)c2c3n(nc2)C[C@@H](NC(c2cn(C)nc2)=O)C3)cnccc1
Cn1cc(C(=O)N[C@H]2Cc3c(C(=O)NCc4cccnc4)cnn3C2)cn1,c1(C(=O)N[C@H]2Cc3c(C(NCc4cnccc4)=O)cnn3C2)cn(C)nc1
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c1cc(-c2cc(C(=O)[O-])c3c(n2)n[nH]c3-c2ccc(C)cc2)cc(OC)c1OC
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,[nH]1nc2c(c(C([O-])=O)cc(-c3cc(OC)c(OC)cc3)n2)c1-c1ccc(C)cc1
COc1ccc(-c2cc(C(=O)[O-])c3c(-c4ccc(C)cc4)[nH]nc3n2)cc1OC,c1(-c2cc(OC)c(OC)cc2)cc(C([O-])=O)c2c(n1)n[nH]c2-c1ccc(C)cc1
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,O=[S@+]([OH2+])(c1cccc(F)c1)N1CC(=O)N2[C@@H](C[C@H](NC(C)=O)C2)C1
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,c1ccc([S@+](=O)([OH2+])N2C[C@H]3N(C[C@@H](NC(C)=O)C3)C(=O)C2)cc1F
CC(=O)N[C@H]1C[C@H]2CN([S@@+](=O)([OH2+])c3cccc(F)c3)CC(=O)N2C1,[OH2+][S@@+](N1CC(=O)N2[C@@H](C[C@H](NC(=O)C)C2)C1)(=O)c1cc(F)ccc1
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,c1cnccc1CNC(c1c(=O)n2ccccc2nc1[O-])=O
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,n12c(=O)c(C(=O)NCc3ccncc3)c([O-])nc1cccc2
O=C(NCc1ccncc1)c1c([O-])nc2ccccn2c1=O,O=c1c(C(NCc2ccncc2)=O)c([O-])nc2n1cccc2
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1cc(C)c(Nc2scc(-c3n4cccnc4nc3C)n2)cc1
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c12n(c(-c3csc(Nc4ccccc4C)n3)c(C)n1)cccn2
Cc1ccccc1Nc1nc(-c2c(C)nc3ncccn23)cs1,c1cccc(C)c1Nc1nc(-c2n3cccnc3nc2C)cs1
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1(C(c2ccc3nc(Nc4ccc(O)cc4)c4n(c(C)nn4)c3c2)=O)ccccc1
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,c1cc(Nc2nc3ccc(C(c4ccccc4)=O)cc3n3c(C)nnc32)ccc1O
Cc1nnc2c(Nc3ccc(O)cc3)nc3ccc(C(=O)c4ccccc4)cc3n12,O=C(c1ccccc1)c1ccc2c(c1)n1c(C)nnc1c(Nc1ccc(O)cc1)n2
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c1([C@H](c2cc3c(cc2)OCO3)CC(=O)[O-])ccccc1
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,[O-]C(=O)C[C@@H](c1cc2c(cc1)OCO2)c1ccccc1
O=C([O-])C[C@H](c1ccccc1)c1ccc2c(c1)OCO2,c12c(ccc([C@H](CC(=O)[O-])c3ccccc3)c1)OCO2
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1c(N2CCC(C(=O)N)([NH+]3CCCCC3)CC2)ccc(NC(=O)c2ccccc2F)c1C(=O)[O-]
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,C([O-])(c1cc(N2CCC([NH+]3CCCCC3)(C(=O)N)CC2)ccc1NC(c1c(F)cccc1)=O)=O
NC(=O)C1([NH+]2CCCCC2)CCN(c2ccc(NC(=O)c3ccccc3F)c(C(=O)[O-])c2)CC1,c1c(NC(c2ccccc2F)=O)c(C(=O)[O-])cc(N2CCC([NH+]3CCCCC3)(C(=O)N)CC2)c1
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,c1ccc2c(c1)n1c(SCC(N3CCOCC3)=O)nnc1n(C)c2=O
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,n12c3ccccc3c(=O)n(C)c1nnc2SCC(=O)N1CCOCC1
Cn1c(=O)c2ccccc2n2c(SCC(=O)N3CCOCC3)nnc12,c1cc2c(=O)n(C)c3n(c(SCC(N4CCOCC4)=O)nn3)c2cc1
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,O=C1N(CC(=O)N)c2c(cccc2)[C@]1(CC(c1ccncc1)=O)O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,N1(CC(=O)N)c2c(cccc2)[C@@](O)(CC(c2ccncc2)=O)C1=O
NC(=O)CN1C(=O)[C@](O)(CC(=O)c2ccncc2)c2ccccc21,c1ccc2c(c1)[C@@](O)(CC(c1ccncc1)=O)C(=O)N2CC(N)=O
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,C1CC(C(=O)N)CCN1[C@H]1CC(=O)N(c2ccc(NC(C)=O)cc2)C1=O
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,CC(=O)Nc1ccc(N2C(=O)[C@@H](N3CCC(C(N)=O)CC3)CC2=O)cc1
CC(=O)Nc1ccc(N2C(=O)C[C@H](N3CCC(C(N)=O)CC3)C2=O)cc1,O=C1N(c2ccc(NC(C)=O)cc2)C(=O)C[C@@H]1N1CCC(C(N)=O)CC1
NC(=O)Cn1c(CSc2nc3ccccc3n2CC(N)=O)nc2ccccc21,c1c2n(CC(N)=O)c(CSc3nc4c(n3CC(=O)N)cccc4)nc2ccc1
