smiles,selfies,sa_score
Cn1c(N)c(C(=O)CSc2ncnc3[nH]cnc23)c(=O)n(C)c1=O,[C][N][C][Branch1][C][N][=C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][C][S][C][=N][C][=N][C][NH1][C][=N][C][Ring1][=Branch2][=Ring1][Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C][Ring2][Ring1][=Branch1][=O],2.900684552241767
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[N][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][C][=C][C][=C][Branch2][Ring2][Ring2][C][N][C][=Branch1][C][=O][C][C@H1][N][C][=Branch1][C][=O][N][Branch1][S][C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][Ring1][P][=O][C][=C][Ring2][Ring1][=N],3.9549985147121944
NC(=O)C1CCN(C(=O)CCCc2nc3cccnc3n2Cc2ccccc2)CC1,[N][C][=Branch1][C][=O][C][C][C][N][Branch2][Ring1][=C][C][=Branch1][C][=O][C][C][C][C][=N][C][=C][C][=C][N][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][Ring1][O],2.2415196560803654
NC(=O)C1CCN(C(=O)CSc2nnc3[nH]c4ccccc4n23)CC1,[N][C][=Branch1][C][=O][C][C][C][N][Branch2][Ring1][=Branch2][C][=Branch1][C][=O][C][S][C][=N][N][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][N][Ring1][=Branch2][C][C][Ring2][Ring1][=Branch1],2.533183928484336
Cc1cc(C)n(CCC(=O)N2CC[C@H]3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n1,[C][C][C][=C][Branch1][C][C][N][Branch2][Ring2][Branch2][C][C][C][=Branch1][C][=O][N][C][C][C@H1][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][N][Ring1][#C][C][C][Ring2][Ring1][Ring2][N][=Ring2][Ring1][=C],2.911650480815462
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@@H]2NC(=O)N(CCc3c[nH]c4ccccc34)C2=O)cc1,[N][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][C][=C][C][=C][Branch2][Ring2][Ring2][C][N][C][=Branch1][C][=O][C][C@@H1][N][C][=Branch1][C][=O][N][Branch1][S][C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][Ring1][P][=O][C][=C][Ring2][Ring1][=N],3.9549985147121944
O=C(Cc1ccccc1)Nn1c(SCc2cc(=O)n3ccccc3n2)nc2ccccc2c1=O,[O][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][N][C][Branch2][Ring1][Ring2][S][C][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][O][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][#Branch1][=O],2.5021587148006397
Cc1nc2ncc3c(=O)n(Cc4cccnc4)ccc3n2n1,[C][C][N][=C][N][=C][C][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=C][C][=Ring1][=C][N][Ring2][Ring1][C][N][=Ring2][Ring1][Branch1],2.5353543668021405
CN1c2cc(C(=O)N3CCC(C(N)=O)CC3)ccc2C(=O)N2CCCC[C@H]21,[C][N][C][=C][C][Branch2][Ring1][Ring2][C][=Branch1][C][=O][N][C][C][C][Branch1][=Branch1][C][Branch1][C][N][=O][C][C][Ring1][=Branch2][=C][C][=C][Ring1][P][C][=Branch1][C][=O][N][C][C][C][C][C@H1][Ring1][=Branch1][Ring2][Ring1][#Branch2],2.969440773648069
N[S@+](=O)([OH2+])c1ccc(CNC(=O)C[C@H]2NC(=O)N(CCc3ccccc3)C2=O)cc1,[N][S@+1][=Branch1][C][=O][Branch1][C][OH2+1][C][=C][C][=C][Branch2][Ring1][#C][C][N][C][=Branch1][C][=O][C][C@H1][N][C][=Branch1][C][=O][N][Branch1][O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C][=O][C][=C][Ring2][Ring1][#Branch2],3.8113446711412395
